Lost,Total Datagrams,Loss Rate (%)
0,70006,0
0,70060,0
0,70003,0
0,70041,0
0,70002,0
0,70067,0
1198,70012,1.711574067
-1198,70012,-1.711135234
0,70029,0
8,70068,0.011423349
-8,70034,-0.011423023
0,70011,0
0,70008,0
0,70031,0
0,70041,0
0,70020,0
0,70029,0
0,70004,0
0,70059,0
0,70035,0
0,69995,0
1212,70047,1.730897326
-1212,70050,-1.730192719
0,70005,0
0,70009,0
0,70048,0
0,70035,0
0,69993,0
0,70024,0
0,70067,0
0,70012,0
0,70014,0
0,70064,0
0,69992,0
0,70031,0
0,70030,0
1210,70030,1.728331596
-1210,70037,-1.727658238
0,70004,0
0,70063,0
0,70017,0
0,70030,0
0,70010,0
0,70009,0
0,70073,0
0,70043,0
0,70003,0
0,70030,0
0,70018,0
0,70053,0
0,70016,0
1207,70023,1.724474399
-1207,70052,-1.723005767
0,70000,0
0,70049,0
0,70007,0
0,70027,0
0,70035,0
0,70046,0
0,70014,0
0,70020,0
0,70048,0
0,70022,0
0,70037,0
0,70018,0
0,70025,0
1204,70016,1.719960202
-1204,70040,-1.719017704
0,70030,0
0,70020,0
0,70026,0
0,70050,0
0,69996,0
0,70040,0
0,70032,0
0,70022,0
0,70053,0
0,70014,0
0,70017,0
0,70048,0
0,70034,0
1462,70022,2.08821122
-1462,70019,-2.088004684
0,70014,0
0,70037,0
0,70040,0
0,70026,0
0,69997,0
0,70052,0
8,70042,0.011424654
-8,70002,-0.011428245
0,70044,0
0,70007,0
0,70056,0
0,70020,0
0,70016,0
1214,70028,1.734891117
-1214,70041,-1.733270513
0,70004,0
0,70063,0
0,70015,0
0,70028,0
7,70025,0.011423349
-7,70041,-0.009994146
0,69997,0
0,70042,0
0,70037,0
0,70001,0
0,70041,0
0,70020,0
0,70056,0
1430,70012,2.043360743
-1430,70032,-2.041923692
0,70052,0
0,70009,0
0,70039,0
0,70004,0
0,70037,0
0,70032,0
0,70014,0
0,70029,0
0,70041,0
0,70025,0
0,70028,0
0,70037,0
0,70017,0
1417,70032,2.023508336
-1417,70028,-2.023476324
0,70008,0
0,70039,0
0,70028,0
0,70043,0
0,70041,0
0,69990,0
0,70056,0
0,70003,0
0,70021,0
0,70058,0
0,70019,0
0,70014,0
0,70035,0
1198,70027,1.711696274
-1198,70011,-1.711159675
0,70037,0
0,70059,0
0,70006,0
0,70048,0
0,70020,0
0,70021,0
0,70018,0
0,70030,0
0,70026,0
0,70056,0
0,70019,0
0,70023,0
0,70056,0
1211,70016,1.731014526
-1211,70003,-1.72992586
0,70049,0
0,70002,0
0,70018,0
0,70067,0
0,70002,0
0,70044,0
0,70017,0
0,70027,0
0,70013,0
0,70026,0
0,70043,0
0,70022,0
0,70034,0
1208,70031,1.725450997
-1208,70026,-1.725073544
0,70011,0
0,70024,0
0,70053,0
0,70013,0
0,70032,0
0,70027,0
0,70021,0
0,70041,0
0,70042,0
0,69987,0
0,70063,0
0,70005,0
0,69334,0
1204,70725,1.703201238
-1204,70041,-1.718993161
0,70021,0
0,70032,0
0,70025,0
0,70027,0
0,70026,0
0,70034,0
0,70011,0
0,70058,0
0,70001,0
0,70060,0
0,70013,0
0,70020,0
0,70047,0
1205,70004,1.721495612
-1205,70017,-1.721010612
0,70051,0
0,70048,0
0,69978,0
0,70061,0
0,70039,0
0,70012,0
7,70027,0.011423349
-7,70070,-0.00999001
0,69970,0
0,70038,0
0,70012,0
0,70053,0
0,70018,0
1213,70041,1.732349401
-1213,70037,-1.731941688
0,70042,0
0,69994,0
0,70049,0
0,70010,0
0,70001,0
0,70045,0
0,70030,0
0,70062,0
0,69992,0
0,70052,0
0,70005,0
0,70052,0
0,70010,0
1214,69974,1.735605606
-1214,70086,-1.732157635
0,70010,0
0,70051,0
0,70020,0
0,70030,0
0,70032,0
0,70019,0
0,70027,0
0,70045,0
0,69996,0
0,70027,0
0,69968,0
0,70111,0
0,70040,0
1943,70002,2.775829241
-1943,70052,-2.773653857
0,69986,0
0,70039,0
0,70023,0
0,70027,0
0,70034,0
0,70062,0
0,70024,0
0,70012,0
0,70028,0
0,70052,0
0,70001,0
0,70054,0
0,70024,0
950,70021,1.358068736
-950,70059,-1.355999943
0,70003,0
0,70020,0
0,70035,0
0,70005,0
0,70035,0
0,69986,0
0,70087,0
0,69971,0
0,70058,0
0,70031,0
0,69428,0
0,70643,0
0,69997,0
972,70069,1.387521346
-972,70009,-1.388392921
0,70018,0
0,70021,0
0,70046,0
0,70023,0
0,70042,0
0,70027,0
0,70032,0
0,70031,0
7,70014,0.011424654
-7,70023,-0.009996715
0,70040,0
0,70026,0
0,70025,0
1208,70032,1.725335693
-1208,70025,-1.725098179
0,70040,0
0,70015,0
0,70041,0
0,70019,0
0,70042,0
0,70024,0
0,70026,0
0,70015,0
0,70029,0
0,70022,0
0,70039,0
0,70029,0
0,70007,0
1218,70030,1.739780278
-1218,70032,-1.739204935
0,70030,0
0,70046,0
0,70029,0
0,70008,0
0,70032,0
0,70066,0
0,70000,0
0,70032,0
0,70009,0
0,70045,0
0,70018,0
0,70029,0
0,70055,0
1201,69996,1.716064188
-1201,70028,-1.715028274
0,70049,0
0,70008,0
0,70051,0
0,70011,0
0,70023,0
0,70007,0
0,70051,0
0,70023,0
0,70024,0
0,70039,0
0,70016,0
0,70024,0
0,70068,0
1192,70006,1.70276354
-1192,70040,-1.701884637
0,69995,0
0,70032,0
0,70062,0
0,70013,0
0,70017,0
0,70040,0
0,70033,0
0,70014,0
0,70055,0
0,69997,0
0,69999,0
0,70055,0
0,70038,0
1219,70030,1.741410738
-1219,70031,-1.740657709
0,70011,0
0,70011,0
0,70061,0
0,70043,0
0,69983,0
0,70058,0
0,70007,0
0,70030,0
0,70018,0
0,70054,0
0,70038,0
0,70029,0
0,69993,0
1181,70042,1.687128787
-1181,70018,-1.686709132
0,70040,0
0,70053,0
0,69990,0
0,70064,0
0,70003,0
0,70022,0
0,70050,0
0,70029,0
0,70036,0
0,70013,0
0,70011,0
0,70022,0
0,70030,0
1200,70014,1.714720716
-1200,70063,-1.712744244
0,70036,0
0,70009,0
0,70063,0
0,70018,0
0,70032,0
0,70016,0
0,70032,0
0,70011,0
0,70069,0
0,69990,0
0,70049,0
0,69999,0
0,70034,0
1195,70036,1.706947777
-1195,70051,-1.705899987
0,70006,0
0,70042,0
0,70028,0
0,70014,0
0,70036,0
0,69995,0
0,70051,0
0,70015,0
0,70034,0
0,70027,0
0,70058,0
0,70016,0
0,70018,0
1216,70061,1.736874673
-1216,70006,-1.736993972
0,70012,0
0,70054,0
0,70021,0
0,70037,0
0,70022,0
0,70003,0
0,70055,0
0,70017,0
