Lost,Total Datagrams,Loss Rate (%)
3508,70045,5.008209008494539
3614,69989,5.163668576490591
3477,70044,4.964022614356691
3497,70031,4.993502877297197
3398,70034,4.85192906302653
3490,70035,4.983222674377097
3474,70024,4.961156175025706
3629,70018,5.18295295495444
3436,70006,4.908150729937434
3505,70059,5.002926105139953
3472,70046,4.956742711932159
3477,69997,4.967355743817592
3464,70027,4.946663429819926
3370,70024,4.81263566777105
6194,70062,8.842140399887047
3552,70030,5.072111952020562
3493,70029,4.987933570377987
3662,69978,5.233073251593358
3471,70038,4.955881093120877
3606,70029,5.1492952919504775
3567,70041,5.092731400179894
3442,70007,4.916651192023655
3485,70041,4.975657115118288
3418,70036,4.8803472499857214
3446,70031,4.9206779854635805
3636,70002,5.194137310362561
3537,70043,5.049755150407607
3581,70046,5.112354738314822
3519,70035,5.024630541871921
5977,70015,8.537341428782318
3348,70056,4.779033915724564
3539,69998,5.055858738821109
3390,70032,4.840644276901988
3542,70032,5.057687914096412
4624,70030,6.6028844780808225
3431,70034,4.89904903332667
3519,70026,5.025276325936081
3562,70044,5.085374907201188
3596,69997,5.137363029844136
3570,70042,5.09694183489906
3531,70037,5.041620857546725
3466,70000,4.951428571428571
3551,70033,5.070466779946597
3625,70045,5.175244485687772
6096,70015,8.707333557304644
3533,70018,5.045845354051815
3443,70047,4.915271175068169
3486,70031,4.977795547686024
3411,69590,4.90156631699957
3636,70446,5.161400221446214
3445,70024,4.919741802810465
3563,70023,5.0883281207603215
3522,70059,5.027191367276153
3438,70011,4.910656896773364
3489,70043,4.981225818425824
3478,70024,4.966868502227808
3532,70035,5.043192689369601
3488,70011,4.982074245475711
3577,70051,5.106279710496638
6117,70006,8.739177910852051
3507,70044,5.006852835360631
3408,70022,4.867041786866984
3493,70048,4.986580630424851
3512,69981,5.0185050227919
3629,70065,5.1794762006708055
3445,70007,4.920936477780794
3440,70029,4.912250639020977
3622,70051,5.170518622146722
3439,70012,4.9120150831286065
3524,69999,5.034357633680481
3523,70041,5.029911052098057
3517,70040,5.0214163335237005
3450,70010,4.927867447507499
3524,70029,5.032200945322652
5696,70055,8.131419858334938
3631,70027,5.185142873463093
3477,70026,4.965298603375889
3420,70027,4.883830522512745
3469,70044,4.952601222088973
3463,70000,4.947142857142857
3549,70048,5.066525810872545
3514,70022,5.018422781411556
3445,70018,4.920163386557743
3488,70027,4.980935924714753
3478,70019,4.9672231822790955
3528,70040,5.037121644774414
3464,70018,4.9472992659030535
3420,70044,4.8826451944492035
3582,70014,5.116119633216214
6191,70049,8.839126557014927
3575,70008,5.106559250371387
3461,70037,4.941673686765567
3524,70023,5.032632135155592
3488,70047,4.9795137550501805
3493,69997,4.990213866308555
3469,70045,4.952530516096795
3447,70029,4.92224649787945
3493,70033,4.987648679908043
3502,70005,5.002499821441326
3492,70037,4.9859360052543655
3466,70030,4.949307439668713
3516,70024,5.021135610647778
3538,70033,5.051904102351749
3466,70020,4.950014281633819
6277,70053,8.960467124587684
3504,70001,5.005642776531763
3448,70041,4.922830913322198
3507,70039,5.0072102685646565
3540,69997,5.057359601125762
3523,70053,5.029049433999972
3430,70008,4.899440063992687
3479,70016,4.968864259597806
3587,70045,5.120993646941252
3468,70050,4.950749464668094
3523,70027,5.030916646436374
3468,70021,4.952799874323417
3509,70026,5.0109959158027015
3418,70046,4.8796505153756105
3440,70008,4.913724145811908
6065,70033,8.6614944985734
3539,70035,5.053187691868351
3444,70024,4.918313721009939
3471,70022,4.957013510039702
3372,70012,4.816317202765241
3509,70048,5.009422110552764
3486,70012,4.979146432040222
3598,70059,5.135671362708575
3420,69998,4.8858538815394725
3547,70041,5.0641766965063315
3523,70035,5.0303419718712075
3537,70000,5.052857142857143
3472,70034,4.957592026729874
3540,70047,5.0537496252516165
3466,70031,4.949236766574803
6317,70020,9.022172740704388
3520,70017,5.027350500592713
